# column 1: time [ps]
# column 2: msd xyz [A^2]
# column 3: msd x [A^2]
# column 4: msd y [A^2]
# column 5: msd z [A^2]
1.1525 33.4815 11.2721 11.1456 11.0638
1.155 33.5909 11.3089 11.1819 11.1001
1.1575 33.7004 11.3457 11.2182 11.1365
1.16 33.81 11.3826 11.2545 11.1728
1.1625 33.9196 11.4195 11.2909 11.2092
1.165 34.0293 11.4564 11.3273 11.2456
1.1675 34.1391 11.4934 11.3637 11.2821
1.17 34.249 11.5304 11.4001 11.3185
1.1725 34.3589 11.5674 11.4365 11.355
1.175 34.4689 11.6045 11.4729 11.3915
1.1775 34.579 11.6416 11.5094 11.4281
1.18 34.6891 11.6787 11.5458 11.4646
1.1825 34.7993 11.7158 11.5823 11.5012
1.185 34.9096 11.753 11.6188 11.5378
1.1875 35.02 11.7902 11.6553 11.5745
1.19 35.1304 11.8274 11.6918 11.6111
1.1925 35.2409 11.8647 11.7283 11.6478
1.195 35.3514 11.902 11.7649 11.6846
1.1975 35.462 11.9393 11.8014 11.7213
1.2 35.5727 11.9766 11.838 11.7581
1.2025 35.6834 12.014 11.8746 11.7948
1.205 35.7942 12.0514 11.9111 11.8316
1.2075 35.9051 12.0889 11.9477 11.8685
1.21 36.016 12.1263 11.9844 11.9053
1.2125 36.127 12.1638 12.021 11.9422
1.215 36.238 12.2013 12.0576 11.9791
1.2175 36.3491 12.2389 12.0943 12.016
1.22 36.4603 12.2765 12.1309 12.0529
1.2225 36.5715 12.3141 12.1676 12.0898
1.225 36.6828 12.3517 12.2043 12.1268
1.2275 36.7942 12.3894 12.241 12.1638
1.23 36.9056 12.4271 12.2778 12.2008
1.2325 37.0171 12.4648 12.3145 12.2378
1.235 37.1286 12.5025 12.3513 12.2748
1.2375 37.2403 12.5403 12.388 12.3119
1.24 37.3519 12.5781 12.4248 12.349
1.2425 37.4637 12.616 12.4616 12.3861
1.245 37.5755 12.6539 12.4985 12.4232
1.2475 37.6874 12.6918 12.5353 12.4603
1.25 37.7993 12.7297 12.5722 12.4975
1.2525 37.9113 12.7676 12.6091 12.5346
1.255 38.0234 12.8056 12.646 12.5718
1.2575 38.1356 12.8436 12.6829 12.6091
1.26 38.2478 12.8817 12.7198 12.6463
1.2625 38.3601 12.9197 12.7568 12.6836
1.265 38.4724 12.9578 12.7937 12.7209
1.2675 38.5849 12.9959 12.8307 12.7582
1.27 38.6973 13.0341 12.8678 12.7955
1.2725 38.8099 13.0722 12.9048 12.8329
1.275 38.9225 13.1104 12.9419 12.8703
1.2775 39.0353 13.1486 12.9789 12.9077
1.28 39.148 13.1869 13.016 12.9451
1.2825 39.2609 13.2251 13.0532 12.9826
1.285 39.3738 13.2634 13.0903 13.02
1.2875 39.4868 13.3017 13.1275 13.0576
1.29 39.5998 13.34 13.1647 13.0951
1.2925 39.713 13.3784 13.202 13.1326
1.295 39.8261 13.4167 13.2392 13.1702
1.2975 39.9394 13.4551 13.2765 13.2078
1.3 40.0527 13.4935 13.3138 13.2454
1.3025 40.1661 13.532 13.3511 13.283
1.305 40.2796 13.5704 13.3885 13.3207
1.3075 40.3932 13.6089 13.4259 13.3584
1.31 40.5068 13.6474 13.4633 13.3961
1.3125 40.6204 13.6859 13.5007 13.4338
1.315 40.7342 13.7244 13.5382 13.4716
1.3175 40.848 13.763 13.5757 13.5093
1.32 40.9619 13.8016 13.6132 13.5471
1.3225 41.0758 13.8402 13.6507 13.5849
1.325 41.1898 13.8788 13.6883 13.6228
1.3275 41.3039 13.9174 13.7259 13.6606
1.33 41.418 13.9561 13.7635 13.6985
1.3325 41.5322 13.9947 13.8012 13.7363
1.335 41.6465 14.0334 13.8388 13.7742
1.3375 41.7608 14.0721 13.8765 13.8122
1.34 41.8752 14.1109 13.9142 13.8501
1.3425 41.9897 14.1496 13.952 13.888
1.345 42.1042 14.1884 13.9898 13.926
1.3475 42.2188 14.2272 14.0276 13.964
1.35 42.3334 14.266 14.0654 14.002
1.3525 42.4481 14.3049 14.1032 14.04
1.355 42.5629 14.3438 14.1411 14.078
1.3575 42.6777 14.3826 14.179 14.1161
1.36 42.7926 14.4215 14.2169 14.1541
1.3625 42.9075 14.4605 14.2549 14.1922
1.365 43.0226 14.4994 14.2928 14.2303
1.3675 43.1376 14.5384 14.3308 14.2684
1.37 43.2528 14.5774 14.3689 14.3065
1.3725 43.368 14.6164 14.4069 14.3446
1.375 43.4833 14.6554 14.445 14.3828
1.3775 43.5986 14.6945 14.4832 14.4209
1.38 43.714 14.7336 14.5213 14.4591
1.3825 43.8295 14.7726 14.5595 14.4973
